,tag,ymd,min,max,count
0,ABML,2023-03-05,2023-03-05 05:13:20+00:00,2023-03-05 08:45:48+00:00,6
1,AMD,2023-03-23,2023-03-23 14:51:32+00:00,2023-03-23 19:51:13+00:00,904
2,AMZN,2023-03-05,2023-03-05 09:28:15+00:00,2023-03-05 19:20:54+00:00,738
3,BABA,2023-03-28,2023-03-28 12:51:02+00:00,2023-03-28 23:53:11+00:00,2974
4,BTC,2023-03-18,2023-03-18 14:48:01+00:00,2023-03-18 23:15:36+00:00,8530
5,BUD,2023-03-08,2023-03-08 11:10:28+00:00,2023-03-08 20:40:36+00:00,26
6,CS,2023-03-15,2023-03-15 15:59:09+00:00,2023-03-15 23:59:46+00:00,3221
7,CS,2023-03-16,2023-03-16 00:00:31+00:00,2023-03-16 13:39:26+00:00,2250
8,CS,2023-03-19,2023-03-19 13:36:35+00:00,2023-03-19 23:59:58+00:00,4001
9,CS,2023-03-20,2023-03-20 00:00:00+00:00,2023-03-20 16:31:34+00:00,3230
10,F,2023-03-26,2023-03-26 05:13:27+00:00,2023-03-26 10:01:29+00:00,55
11,FRC,2023-03-13,2023-03-13 06:32:44+00:00,2023-03-13 23:59:20+00:00,5388
12,FRC,2023-03-14,2023-03-14 00:00:04+00:00,2023-03-14 23:59:44+00:00,3221
13,FRC,2023-03-15,2023-03-15 00:00:02+00:00,2023-03-15 23:59:59+00:00,2221
14,FRC,2023-03-16,2023-03-16 00:00:42+00:00,2023-03-16 23:59:28+00:00,5949
15,FRC,2023-03-17,2023-03-17 00:00:09+00:00,2023-03-17 23:59:51+00:00,4672
16,FRC,2023-03-18,2023-03-18 00:00:01+00:00,2023-03-18 23:59:43+00:00,2467
17,FRC,2023-03-19,2023-03-19 00:00:06+00:00,2023-03-19 23:59:48+00:00,1596
18,FRC,2023-03-20,2023-03-20 00:00:03+00:00,2023-03-20 15:17:48+00:00,1914
19,FRC,2023-03-25,2023-03-25 00:28:58+00:00,2023-03-25 16:54:50+00:00,366
20,FRC,2023-03-28,2023-03-28 11:45:16+00:00,2023-03-28 17:53:39+00:00,511
21,GME,2023-03-22,2023-03-22 05:41:09+00:00,2023-03-22 15:08:30+00:00,2902
22,MSFT,2023-03-25,2023-03-25 16:45:09+00:00,2023-03-25 21:40:58+00:00,157
23,NFLX,2023-03-31,2023-03-31 15:45:46+00:00,2023-03-31 21:03:10+00:00,525
24,NVDA,2023-03-01,2023-03-01 10:25:11+00:00,2023-03-01 15:24:21+00:00,749
25,NVDA,2023-03-09,2023-03-09 07:06:04+00:00,2023-03-09 23:59:29+00:00,2877
26,NVDA,2023-03-10,2023-03-10 00:00:00+00:00,2023-03-10 23:59:21+00:00,2833
27,NVDA,2023-03-11,2023-03-11 00:00:05+00:00,2023-03-11 23:59:18+00:00,782
28,NVDA,2023-03-12,2023-03-12 00:00:01+00:00,2023-03-12 19:37:52+00:00,840
29,NVDA,2023-03-30,2023-03-30 08:40:17+00:00,2023-03-30 14:43:18+00:00,636
30,PCE,2023-03-31,2023-03-31 17:45:36+00:00,2023-03-31 17:49:25+00:00,2
31,QQQ,2023-03-31,2023-03-31 15:41:19+00:00,2023-03-31 22:35:57+00:00,1886
32,SIVB,2023-03-11,2023-03-11 03:41:58+00:00,2023-03-11 13:54:06+00:00,2082
33,SPY,2023-03-02,2023-03-02 06:12:04+00:00,2023-03-02 23:59:46+00:00,10443
34,SPY,2023-03-03,2023-03-03 00:00:03+00:00,2023-03-03 23:59:58+00:00,11147
35,SPY,2023-03-04,2023-03-04 00:00:11+00:00,2023-03-04 23:59:44+00:00,3849
36,SPY,2023-03-05,2023-03-05 00:01:01+00:00,2023-03-05 23:59:49+00:00,4079
37,SPY,2023-03-06,2023-03-06 00:00:05+00:00,2023-03-06 23:59:58+00:00,8660
38,SPY,2023-03-07,2023-03-07 00:00:01+00:00,2023-03-07 12:18:53+00:00,2733
39,SPY,2023-03-14,2023-03-14 11:07:27+00:00,2023-03-14 23:59:56+00:00,9385
40,SPY,2023-03-15,2023-03-15 00:00:06+00:00,2023-03-15 23:59:46+00:00,11683
41,SPY,2023-03-16,2023-03-16 00:00:00+00:00,2023-03-16 23:59:24+00:00,10202
42,SPY,2023-03-17,2023-03-17 00:00:00+00:00,2023-03-17 19:48:53+00:00,6737
43,SPY,2023-03-23,2023-03-23 17:33:51+00:00,2023-03-23 23:59:50+00:00,4034
44,SPY,2023-03-24,2023-03-24 00:00:01+00:00,2023-03-24 23:59:58+00:00,9836
45,SPY,2023-03-25,2023-03-25 00:00:00+00:00,2023-03-25 23:55:19+00:00,2715
46,SPY,2023-03-26,2023-03-26 00:00:17+00:00,2023-03-26 14:21:03+00:00,1179
47,SPY,2023-03-31,2023-03-31 03:56:49+00:00,2023-03-31 09:57:02+00:00,467
48,SVB,2023-03-10,2023-03-10 13:06:24+00:00,2023-03-10 23:58:27+00:00,953
49,SVB,2023-03-11,2023-03-11 00:00:48+00:00,2023-03-11 23:59:35+00:00,1371
50,SVB,2023-03-12,2023-03-12 00:00:09+00:00,2023-03-12 23:58:24+00:00,1578
51,SVB,2023-03-13,2023-03-13 00:00:52+00:00,2023-03-13 23:57:49+00:00,1154
52,SVB,2023-03-14,2023-03-14 00:00:32+00:00,2023-03-14 23:54:14+00:00,435
53,SVB,2023-03-15,2023-03-15 00:00:27+00:00,2023-03-15 23:59:58+00:00,344
54,SVB,2023-03-16,2023-03-16 00:01:47+00:00,2023-03-16 23:57:15+00:00,193
55,SVB,2023-03-17,2023-03-17 00:06:15+00:00,2023-03-17 23:58:28+00:00,252
56,SVB,2023-03-18,2023-03-18 00:00:47+00:00,2023-03-18 19:44:00+00:00,106
57,SVB,2023-03-27,2023-03-27 08:10:28+00:00,2023-03-27 20:03:56+00:00,70
58,TSLA,2023-03-01,2023-03-01 00:00:11+00:00,2023-03-01 23:59:56+00:00,11659
59,TSLA,2023-03-02,2023-03-02 00:00:00+00:00,2023-03-02 23:59:59+00:00,15968
60,TSLA,2023-03-03,2023-03-03 00:00:02+00:00,2023-03-03 23:59:58+00:00,10616
61,TSLA,2023-03-04,2023-03-04 00:00:02+00:00,2023-03-04 23:59:54+00:00,4868
62,TSLA,2023-03-05,2023-03-05 00:00:18+00:00,2023-03-05 23:59:46+00:00,5656
63,TSLA,2023-03-06,2023-03-06 00:00:09+00:00,2023-03-06 23:59:47+00:00,7480
64,TSLA,2023-03-07,2023-03-07 00:00:00+00:00,2023-03-07 23:59:57+00:00,8346
65,TSLA,2023-03-08,2023-03-08 00:00:00+00:00,2023-03-08 13:07:17+00:00,3930
66,TSLA,2023-03-23,2023-03-23 17:35:52+00:00,2023-03-23 23:59:56+00:00,2304
67,TSLA,2023-03-24,2023-03-24 00:00:01+00:00,2023-03-24 23:59:58+00:00,6431
68,TSLA,2023-03-25,2023-03-25 00:00:00+00:00,2023-03-25 02:15:17+00:00,507
69,UBER,2023-03-06,2023-03-06 17:40:20+00:00,2023-03-06 23:56:35+00:00,158
70,UBER,2023-03-07,2023-03-07 00:00:33+00:00,2023-03-07 14:55:24+00:00,363
71,UBS,2023-03-18,2023-03-18 20:18:25+00:00,2023-03-18 23:44:59+00:00,112
72,UBS,2023-03-19,2023-03-19 00:03:53+00:00,2023-03-19 23:59:48+00:00,1895
73,UBS,2023-03-20,2023-03-20 00:00:04+00:00,2023-03-20 23:59:35+00:00,1673
74,UBS,2023-03-21,2023-03-21 00:11:50+00:00,2023-03-21 01:23:38+00:00,33
