,tag,ymd,min,max,count
0,AAPL,2023-02-02,2023-02-02 17:10:06+00:00,2023-02-02 23:59:44+00:00,5984
1,AAPL,2023-02-03,2023-02-03 00:00:00+00:00,2023-02-03 14:36:33+00:00,3210
2,AMC,2023-02-28,2023-02-28 12:51:23+00:00,2023-02-28 21:53:35+00:00,3496
3,AMD,2023-02-01,2023-02-01 00:00:12+00:00,2023-02-01 19:35:59+00:00,3389
4,AMZN,2023-02-03,2023-02-03 06:33:03+00:00,2023-02-03 15:19:49+00:00,2417
5,BYND,2023-02-26,2023-02-26 06:32:33+00:00,2023-02-26 11:12:41+00:00,28
6,GOOG,2023-02-09,2023-02-09 17:17:17+00:00,2023-02-09 22:29:44+00:00,802
7,MSFT,2023-02-08,2023-02-08 03:33:02+00:00,2023-02-08 14:57:01+00:00,1668
8,MSFT,2023-02-20,2023-02-20 03:47:33+00:00,2023-02-20 23:59:44+00:00,1681
9,MSFT,2023-02-21,2023-02-21 00:00:31+00:00,2023-02-21 11:25:28+00:00,393
10,NFLX,2023-02-04,2023-02-04 06:01:48+00:00,2023-02-04 23:53:28+00:00,306
11,NFLX,2023-02-05,2023-02-05 00:06:27+00:00,2023-02-05 06:34:54+00:00,53
12,NFLX,2023-02-10,2023-02-10 08:00:22+00:00,2023-02-10 23:58:12+00:00,733
13,NFLX,2023-02-11,2023-02-11 00:00:34+00:00,2023-02-11 23:58:42+00:00,577
14,NFLX,2023-02-12,2023-02-12 00:13:31+00:00,2023-02-12 16:32:27+00:00,448
15,NVDA,2023-02-23,2023-02-23 05:57:17+00:00,2023-02-23 23:59:33+00:00,6160
16,NVDA,2023-02-24,2023-02-24 00:00:03+00:00,2023-02-24 06:19:51+00:00,752
17,NVDA,2023-02-27,2023-02-27 04:13:19+00:00,2023-02-27 23:58:30+00:00,2501
18,NVDA,2023-02-28,2023-02-28 00:00:54+00:00,2023-02-28 23:59:10+00:00,3490
19,PLTR,2023-02-14,2023-02-14 05:30:27+00:00,2023-02-14 20:47:46+00:00,1675
20,SNAP,2023-02-01,2023-02-01 05:02:56+00:00,2023-02-01 18:35:58+00:00,1225
21,SOUN,2023-02-07,2023-02-07 04:00:04+00:00,2023-02-07 13:34:25+00:00,227
22,SPY,2023-02-01,2023-02-01 00:00:05+00:00,2023-02-01 23:59:51+00:00,11235
23,SPY,2023-02-02,2023-02-02 00:00:02+00:00,2023-02-02 23:59:42+00:00,11105
24,SPY,2023-02-03,2023-02-03 00:00:07+00:00,2023-02-03 23:59:58+00:00,9587
25,SPY,2023-02-04,2023-02-04 00:00:00+00:00,2023-02-04 23:59:51+00:00,4440
26,SPY,2023-02-05,2023-02-05 00:00:04+00:00,2023-02-05 18:00:08+00:00,2444
27,SPY,2023-02-13,2023-02-13 13:18:58+00:00,2023-02-13 23:59:52+00:00,5912
28,SPY,2023-02-14,2023-02-14 00:00:04+00:00,2023-02-14 23:59:54+00:00,12375
29,SPY,2023-02-15,2023-02-15 00:00:04+00:00,2023-02-15 23:59:36+00:00,10237
30,SPY,2023-02-16,2023-02-16 00:00:17+00:00,2023-02-16 23:59:52+00:00,7756
31,SPY,2023-02-17,2023-02-17 00:00:04+00:00,2023-02-17 19:14:36+00:00,8498
32,SPY,2023-02-21,2023-02-21 11:12:22+00:00,2023-02-21 23:59:57+00:00,8149
33,SPY,2023-02-22,2023-02-22 00:00:03+00:00,2023-02-22 01:14:56+00:00,517
34,SPY,2023-02-25,2023-02-25 03:23:20+00:00,2023-02-25 23:59:18+00:00,2230
35,SPY,2023-02-26,2023-02-26 00:00:01+00:00,2023-02-26 15:27:42+00:00,1927
36,TSLA,2023-02-01,2023-02-01 00:00:00+00:00,2023-02-01 23:59:59+00:00,7746
37,TSLA,2023-02-02,2023-02-02 00:00:07+00:00,2023-02-02 23:59:42+00:00,6829
38,TSLA,2023-02-03,2023-02-03 00:00:05+00:00,2023-02-03 23:59:56+00:00,7289
39,TSLA,2023-02-04,2023-02-04 00:00:04+00:00,2023-02-04 23:59:02+00:00,3154
40,TSLA,2023-02-05,2023-02-05 00:01:13+00:00,2023-02-05 23:59:28+00:00,5947
41,TSLA,2023-02-06,2023-02-06 00:00:04+00:00,2023-02-06 23:59:55+00:00,9228
42,TSLA,2023-02-07,2023-02-07 00:00:00+00:00,2023-02-07 23:59:55+00:00,7279
43,TSLA,2023-02-08,2023-02-08 00:00:04+00:00,2023-02-08 23:59:56+00:00,8875
44,TSLA,2023-02-09,2023-02-09 00:00:00+00:00,2023-02-09 23:59:43+00:00,10295
45,TSLA,2023-02-10,2023-02-10 00:00:02+00:00,2023-02-10 23:59:59+00:00,9484
46,TSLA,2023-02-11,2023-02-11 00:00:00+00:00,2023-02-11 23:58:40+00:00,3826
47,TSLA,2023-02-12,2023-02-12 00:00:00+00:00,2023-02-12 23:59:57+00:00,5039
48,TSLA,2023-02-13,2023-02-13 00:00:03+00:00,2023-02-13 22:30:58+00:00,5380
49,TSLA,2023-02-14,2023-02-14 00:29:31+00:00,2023-02-14 23:59:39+00:00,6296
50,TSLA,2023-02-15,2023-02-15 00:00:00+00:00,2023-02-15 23:59:58+00:00,9234
51,TSLA,2023-02-16,2023-02-16 00:00:01+00:00,2023-02-16 23:59:56+00:00,11379
52,TSLA,2023-02-17,2023-02-17 00:00:04+00:00,2023-02-17 21:14:50+00:00,8505
53,TSLA,2023-02-20,2023-02-20 17:57:27+00:00,2023-02-20 23:59:12+00:00,1945
54,TSLA,2023-02-21,2023-02-21 00:00:00+00:00,2023-02-21 23:59:56+00:00,7443
55,TSLA,2023-02-22,2023-02-22 00:00:04+00:00,2023-02-22 23:59:48+00:00,7954
56,TSLA,2023-02-23,2023-02-23 00:00:04+00:00,2023-02-23 23:59:38+00:00,7156
57,TSLA,2023-02-24,2023-02-24 00:00:03+00:00,2023-02-24 23:59:56+00:00,7402
58,TSLA,2023-02-25,2023-02-25 00:00:05+00:00,2023-02-25 11:10:03+00:00,918
59,TSLA,2023-02-28,2023-02-28 08:25:54+00:00,2023-02-28 23:53:33+00:00,7150
