,tag,ymd,min,max,count
19,NVDA,2023-05-19,2023-05-19 00:00:22+00:00,2023-05-19 23:59:29+00:00,3024
20,NVDA,2023-05-20,2023-05-20 00:00:11+00:00,2023-05-20 23:59:44+00:00,1020
21,NVDA,2023-05-21,2023-05-21 00:00:06+00:00,2023-05-21 23:59:13+00:00,1135
22,NVDA,2023-05-22,2023-05-22 00:00:34+00:00,2023-05-22 23:59:57+00:00,3016
23,NVDA,2023-05-23,2023-05-23 00:00:01+00:00,2023-05-23 23:59:32+00:00,2222
24,NVDA,2023-05-24,2023-05-24 00:01:24+00:00,2023-05-24 21:13:00+00:00,5954
25,NVDA,2023-05-28,2023-05-28 09:34:05+00:00,2023-05-28 23:58:05+00:00,1380
26,NVDA,2023-05-29,2023-05-29 00:00:00+00:00,2023-05-29 23:59:21+00:00,2076
27,NVDA,2023-05-30,2023-05-30 00:00:44+00:00,2023-05-30 23:59:48+00:00,6520
28,NVDA,2023-05-31,2023-05-31 00:00:00+00:00,2023-05-31 23:59:36+00:00,4683
29,PACW,2023-05-04,2023-05-04 02:45:32+00:00,2023-05-04 12:47:49+00:00,776
30,PLTR,2023-05-09,2023-05-09 00:52:03+00:00,2023-05-09 23:57:32+00:00,2187
31,PLTR,2023-05-10,2023-05-10 00:02:01+00:00,2023-05-10 04:09:15+00:00,131
32,PLTR,2023-05-15,2023-05-15 00:53:07+00:00,2023-05-15 07:42:00+00:00,161
33,PLTR,2023-05-20,2023-05-20 14:20:51+00:00,2023-05-20 21:14:30+00:00,216
34,RIVN,2023-05-07,2023-05-07 04:04:05+00:00,2023-05-07 23:54:21+00:00,143
35,RIVN,2023-05-08,2023-05-08 00:06:59+00:00,2023-05-08 23:57:07+00:00,293
36,RIVN,2023-05-09,2023-05-09 00:01:23+00:00,2023-05-09 18:33:19+00:00,269
37,SOFI,2023-05-02,2023-05-02 13:02:26+00:00,2023-05-02 18:07:18+00:00,622
38,SPY,2023-05-03,2023-05-03 17:55:35+00:00,2023-05-03 23:59:59+00:00,4000
39,SPY,2023-05-04,2023-05-04 00:00:09+00:00,2023-05-04 23:59:38+00:00,7940
40,SPY,2023-05-05,2023-05-05 00:00:18+00:00,2023-05-05 19:54:12+00:00,6939
41,SPY,2023-05-09,2023-05-09 00:52:26+00:00,2023-05-09 23:59:57+00:00,6195
42,SPY,2023-05-10,2023-05-10 00:00:00+00:00,2023-05-10 13:49:08+00:00,2466
43,SPY,2023-05-13,2023-05-13 08:39:00+00:00,2023-05-13 23:58:21+00:00,1107
44,SPY,2023-05-14,2023-05-14 00:00:08+00:00,2023-05-14 23:59:44+00:00,2508
45,SPY,2023-05-15,2023-05-15 00:00:00+00:00,2023-05-15 14:50:36+00:00,3078
46,SPY,2023-05-20,2023-05-20 00:30:06+00:00,2023-05-20 23:59:58+00:00,2263
47,SPY,2023-05-21,2023-05-21 00:00:36+00:00,2023-05-21 23:59:28+00:00,2628
48,SPY,2023-05-22,2023-05-22 00:00:22+00:00,2023-05-22 23:59:57+00:00,8041
49,SPY,2023-05-23,2023-05-23 00:00:09+00:00,2023-05-23 23:59:37+00:00,6340
50,SPY,2023-05-24,2023-05-24 00:00:17+00:00,2023-05-24 23:59:53+00:00,6255
51,SPY,2023-05-25,2023-05-25 00:00:01+00:00,2023-05-25 04:55:57+00:00,1051
52,SPY,2023-05-30,2023-05-30 02:09:31+00:00,2023-05-30 14:41:30+00:00,2731
53,TSLA,2023-05-12,2023-05-12 12:24:41+00:00,2023-05-12 23:59:51+00:00,4739
54,TSLA,2023-05-13,2023-05-13 00:00:01+00:00,2023-05-13 23:59:58+00:00,2531
55,TSLA,2023-05-14,2023-05-14 00:00:02+00:00,2023-05-14 23:59:25+00:00,2410
56,TSLA,2023-05-15,2023-05-15 00:00:02+00:00,2023-05-15 23:59:44+00:00,4861
57,TSLA,2023-05-16,2023-05-16 00:00:09+00:00,2023-05-16 23:59:43+00:00,5712
58,TSLA,2023-05-17,2023-05-17 00:00:04+00:00,2023-05-17 23:59:15+00:00,7720
59,TSLA,2023-05-18,2023-05-18 00:00:00+00:00,2023-05-18 23:59:51+00:00,5915
60,TSLA,2023-05-19,2023-05-19 00:00:12+00:00,2023-05-19 23:59:57+00:00,6140
61,TSLA,2023-05-20,2023-05-20 00:00:11+00:00,2023-05-20 23:59:44+00:00,2197
62,TSLA,2023-05-21,2023-05-21 00:00:01+00:00,2023-05-21 11:43:57+00:00,650
63,WFC,2023-05-07,2023-05-07 03:51:11+00:00,2023-05-07 23:52:46+00:00,195
64,WFC,2023-05-08,2023-05-08 00:00:56+00:00,2023-05-08 06:57:34+00:00,45
