,tag,ymd,min,max,count
0,AAPL,2023-05-05,2023-05-05 01:05:29+00:00,2023-05-05 22:04:34+00:00,5935
1,AAPL,2023-05-10,2023-05-10 02:35:38+00:00,2023-05-10 09:35:08+00:00,355
2,ABNB,2023-05-10,2023-05-10 08:23:18+00:00,2023-05-10 16:27:42+00:00,640
3,AMD,2023-05-03,2023-05-03 05:16:24+00:00,2023-05-03 23:59:39+00:00,2710
4,AMD,2023-05-04,2023-05-04 00:02:01+00:00,2023-05-04 23:59:38+00:00,2961
5,AMD,2023-05-05,2023-05-05 00:00:24+00:00,2023-05-05 07:35:17+00:00,325
6,AMZN,2023-05-28,2023-05-28 09:35:47+00:00,2023-05-28 20:03:54+00:00,1073
7,BABA,2023-05-22,2023-05-22 06:53:00+00:00,2023-05-22 13:55:11+00:00,278
8,BUD,2023-05-31,2023-05-31 13:06:54+00:00,2023-05-31 19:57:06+00:00,139
9,DIS,2023-05-11,2023-05-11 00:46:17+00:00,2023-05-11 07:48:35+00:00,270
10,FRC,2023-05-01,2023-05-01 03:05:14+00:00,2023-05-01 23:59:50+00:00,3976
11,FRC,2023-05-02,2023-05-02 00:01:01+00:00,2023-05-02 23:59:16+00:00,2069
12,FRC,2023-05-03,2023-05-03 00:02:07+00:00,2023-05-03 23:54:32+00:00,1328
13,FRC,2023-05-04,2023-05-04 00:02:01+00:00,2023-05-04 12:46:53+00:00,317
14,HSBC,2023-05-11,2023-05-11 12:22:53+00:00,2023-05-11 22:58:28+00:00,33
15,NFLX,2023-05-24,2023-05-24 07:13:12+00:00,2023-05-24 14:13:00+00:00,204
16,NVDA,2023-05-16,2023-05-16 10:22:26+00:00,2023-05-16 23:59:34+00:00,2076
17,NVDA,2023-05-17,2023-05-17 00:00:00+00:00,2023-05-17 23:59:15+00:00,3188
18,NVDA,2023-05-18,2023-05-18 00:00:04+00:00,2023-05-18 23:59:58+00:00,4420
